,iteration,time,id,x,y,dx,dy
161,161,2.683333333333333,0,346.6128,242.17233,-0.10134888,0.02722168
162,162,2.7,0,347.18805,242.10931,0.57525635,-0.0630188
163,163,2.716666666666667,0,346.45386,242.1248,-0.7341919,0.015487671
164,164,2.7333333333333334,0,347.11496,242.16153,0.6611023,0.036727905
165,165,2.75,0,346.57285,242.11386,-0.54211426,-0.047668457
166,166,2.7666666666666666,0,346.86258,242.15808,0.2897339,0.04421997
167,167,2.783333333333333,0,346.69443,242.11201,-0.16815186,-0.046066284
168,168,2.8,0,346.64514,242.26396,-0.04928589,0.15194702
169,169,2.816666666666667,0,346.91544,242.09839,0.2702942,-0.16557312
170,170,2.8333333333333335,0,346.55865,242.09962,-0.356781,0.0012359619
171,171,2.85,0,347.14142,242.09773,0.5827637,-0.0018920898
172,172,2.8666666666666667,0,346.44553,242.09589,-0.69589233,-0.0018463135
173,173,2.8833333333333333,0,346.9314,242.14046,0.48587036,0.044570923
174,174,2.9,0,346.66946,242.0679,-0.26193237,-0.07255554
175,175,2.9166666666666665,0,346.71716,242.19,0.047698975,0.12210083
176,176,2.933333333333333,0,346.92923,242.12961,0.21206665,-0.060394287
177,177,2.95,0,346.5818,242.11101,-0.34744263,-0.018600464
178,178,2.966666666666667,0,347.07947,242.12668,0.49768066,0.015670776
179,179,2.9833333333333334,0,346.4555,242.04904,-0.6239624,-0.07763672
180,180,3.0,0,347.08853,242.10376,0.6330261,0.054718018
181,181,3.0166666666666666,0,346.58743,241.95699,-0.50109863,-0.14677429
182,182,3.033333333333333,0,346.73715,242.18651,0.14971924,0.2295227
183,183,3.05,0,346.73224,241.92552,-0.00491333,-0.26098633
184,184,3.066666666666667,0,346.59717,241.96391,-0.1350708,0.038391113
185,185,3.0833333333333335,0,346.92245,242.0058,0.32528687,0.041885376
186,186,3.1,0,346.4479,242.01155,-0.47454834,0.0057525635
187,187,3.1166666666666667,0,347.14807,242.12315,0.7001648,0.11160278
188,188,3.1333333333333333,0,346.4583,242.02675,-0.6897583,-0.09640503
189,189,3.15,0,346.88974,242.11504,0.431427,0.08828735
190,190,3.1666666666666665,0,346.76465,242.08148,-0.12509155,-0.033554077
191,191,3.183333333333333,0,346.6631,242.11174,-0.1015625,0.030258179
192,192,3.2,0,346.97882,241.96881,0.31573486,-0.14292908
193,193,3.216666666666667,0,346.4988,241.98776,-0.480011,0.018951416
194,194,3.2333333333333334,0,347.2263,241.96619,0.727478,-0.021575928
195,195,3.25,0,346.49133,241.9608,-0.73495483,-0.0053863525
196,196,3.2666666666666666,0,346.90457,242.08388,0.41323853,0.12307739
197,197,3.283333333333333,0,346.68045,241.96696,-0.2241211,-0.11691284
198,198,3.3,0,346.7872,242.00958,0.10675049,0.042617798
199,199,3.316666666666667,0,346.88806,241.96132,0.100860596,-0.04826355
200,200,3.3333333333333335,0,346.67935,241.97867,-0.20870972,0.017349243
201,201,3.35,0,347.21323,241.98956,0.5338745,0.010894775
202,202,3.3666666666666667,0,346.65765,241.9787,-0.5555725,-0.010864258
203,203,3.3833333333333333,0,347.16254,242.11867,0.5048828,0.13996887
204,204,3.4,0,346.6892,241.99872,-0.47332764,-0.11994934
205,205,3.4166666666666665,0,346.92642,242.11562,0.23721313,0.11689758
206,206,3.433333333333333,0,346.80237,242.13063,-0.124053955,0.015014648
207,207,3.45,0,346.69647,242.17976,-0.105895996,0.0491333
208,208,3.466666666666667,0,347.18463,242.12169,0.48815918,-0.05807495
209,209,3.4833333333333334,0,346.69727,242.18004,-0.48736572,0.05834961
210,210,3.5,0,347.21732,242.16933,0.52005005,-0.01071167
211,211,3.5166666666666666,0,346.69766,242.18141,-0.5196533,0.012084961
212,212,3.533333333333333,0,346.9644,242.17921,0.26672363,-0.0021972656
213,213,3.55,0,346.69675,242.18115,-0.26763916,0.0019378662
214,214,3.566666666666667,0,346.69626,242.38145,-0.00048828125,0.20030212
215,215,3.5833333333333335,0,346.71283,242.75806,0.016571045,0.37660217
216,216,3.6,0,346.48325,242.25723,-0.22958374,-0.500824
217,217,3.6166666666666667,0,346.93277,241.93468,0.44952393,-0.32255554
218,218,3.6333333333333333,0,346.46414,241.65028,-0.46862793,-0.2843933
219,219,3.65,0,347.22186,242.17447,0.75772095,0.5241852
